client_id,age_bracket,job,marital,education,has_housing_loan,has_personal_loan,prev_call_duration,days_since_last_call,num_contacts_prev,poutcome,contact_date,cpi,subs_deposit
10668,25-40,white-collar,single,bachelors,yes,no,154300,999,0,nonexistent,2018-03-05,92.893,1
38998,60+,other,single,secondary,yes,no,195800,999,0,nonexistent,2018-05-04,93.075,0
37290,41-60,white-collar,married,unknown,yes,no,206200,8,1,success,2018-03-12,92.713,1
16547,25-40,technician,married,masters,no,no,152800,999,0,nonexistent,2018-06-06,94.465,1
24550,41-60,blue-collar,married,secondary,yes,no,201500,999,0,nonexistent,2018-06-07,93.918,1
21605,41-60,self-employed,married,secondary,yes,no,135900,999,0,nonexistent,2018-04-07,93.918,1
22696,18-24,white-collar,single,bachelors,no,no,158400,999,0,nonexistent,2018-05-07,93.918,1
36730,25-40,technician,single,masters,no,no,148000,999,0,nonexistent,2018-02-11,93.2,1
7575,25-40,technician,married,bachelors,no,no,148900,999,0,nonexistent,2018-02-05,92.893,1
24341,25-40,blue-collar,married,secondary,yes,no,137300,999,0,nonexistent,2018-06-07,93.918,1
1700,25-40,technician,single,bachelors,yes,no,151400,999,1,failure,2018-07-05,92.893,1
33444,25-40,entrepreneur,married,bachelors,yes,no,246200,999,0,nonexistent,2018-05-11,93.2,1
30674,41-60,blue-collar,married,secondary,no,no,419900,999,0,nonexistent,2018-02-08,93.444,1
22719,25-40,white-collar,married,bachelors,yes,yes,139000,999,0,nonexistent,2018-05-07,93.918,0
2426,25-40,white-collar,married,senior_secondary,yes,no,143400,999,1,failure,2018-07-05,92.893,0
